Ques_re,Answer_re
57,715
648,1993
345,36
457,692
15,109
3507,1199
29,43860
14,16144
359,43860
1274,73225
30,1228
42,4472
79,72
4,4398
131,16144
28,7541
195,471
759,3808
1542,10337
97,57762
3,2771
140,833
532,6094
169,968
13,2255
565,1235
15,16144
634,131580
187,2014
18,436
10,11222
324,3138
1230,1858
99,26597
101,101
1109,1109
8877,8877
57,56
159,171
66,111412
1401,34530
4032,1658
3,107
88,741
3,1700
82,162
46,43860
144,32207
26,6439
91,407
459,2870
30,16
1078,90526
39,151
115,51
721,76
171,151
8,501
334,32207
600,9556
266,16144
98,841
512,2733
53,10999
1137,6367
107,1301
771,1531
8,501
1,111412
934,34939
903,30
7,405
818,213
75,4420
7,296
8,4109
2607,953
383,14837
451,1951
17,148
858,2087
109,171
8,447
505,3609
1,111412
8,2289
225,12224
50,1254
1,1931
118,692
420,3331
1000,416
444,59127
61,705
943,4199
2059,1254
585,16419
55,1028
24,89
127,162
14,77
239,653
5,171
17,1531
172,91053
434,150
4827,3080
572,487
107,325
47,925
850,12023
2976,16419
6565,16419
174,174
254,1028
2316,1286
1601,2003
84,4493
33,1028
51,131580
37,90526
166,674
3,639
5121,5121
23,16144
85,254
3,198399
526,8566
23,2638
3,166
72,76
15,2006
2475,18256
185,5104
422,168
104,2214
97,153
11,874
440,47581
18,131580
52,1697
3,73225
136,18
4,66
185,55990
53,8130
322,789
16,153
10,6439
2188,10466
526,16144
1483,96
85,1454
15,10300
1251,131580
8,9868
153,125
64,1531
11,5712
329,1531
151,43860
160,89
24,2925
63,5131
44,14585
118,31133
11,2428
438,1254
153,166
110,14585
2732,10999
835,76
15,12488
48,789
18,2003
144,83
1358,17282
603,27763
102,2269
34,12023
17,43860
13,13
54,2214
2601,1429
73,73
462,708
33,622
353,16419
7,599
1,1654
112,250
159,16419
59,31354
3,919
384,3149
548,10466
288,2062
18,9675
7,10552
13,6180
158,478
251,7470
3,90
832,6180
13,111
131,2777
1,1
354,73
168,48
328,328
23,23
37,6011
23,26
240,100947
140,6235
7992,183
165,621
36,3364
325,2425
2133,2133
80,80
3179,783
1462,14550
4963,4963
8,564
8,1658
66,847
241,241
64,64
162,40993
380,443
83,1374
219,17963
10,3583
2625,780
5113,5113
43,10872
346,346
1200,15712
23,23
1,1
13,176
313,39951
407,407
20,20
33,33
62,373
6,6
116,1078
11,1243
191,388
122,2482
119,1086
33,5690
88,636
29,29
57,57
802,40027
89,6535
129,482
102,336
19,69164
306,608
19,146
363,67220
55,55
99,99
383,14048
18,18
320,277
502,2625
53,22872
96,1062
102,157
43,15147
2712,45587
499,21184
440,440
1434,26
8,1317
14,2852
4757,656
1421,420
154,73
4917,2063
10,368
8,1570
116,1295
2515,16557
135,135
1,124
101,355
3,1139
6,3485
1,623
5,175
29,59385
3,1523
5,151
1007,4662
73,70
27,86
8,73
111,40
197,2825
343,10402
15,1637
9,41
20,954
24,440
21,18983
78,315
40,39556
163,51077
3,1467
5,142
37,764
3,53
6,153594
857,5300
382,716
510,510
3,117
101,1757
1,3311
57,21712
28,127
44,59385
4757,20018
78,1128
8,3583
373,373
137,783
2905,8720
90,90
3,1467
10,10419
61,61
63,7780
73,9330
155,81
134,69164
115,115
73,371
83,1
3,792
139,139
101,6759
5352,10290
3,35
13,1204
25,2330
16,20837
167,1113
10,186
1041,117457
8,117655
85,96
150,783
32,780
1443,11547
3,780
253,66
98,90
15,5690
146,7723
623,22251
8,49406
5447,3558
32,2175
486,37201
8,1122
2596,2596
6,1186
26,106
1870,17963
382,2314
68,954
22,46
2308,2851
8,16
115,66276
1630,2864
18,669
29,2314
12,391
416,336
1253,93
138,31133
101,101
10,1182
10,49917
66,2384
13,3045
671,126
40,5918
3,1253
17,3411
364,17963
932,166
20,141
25,26
69,6535
214,1676
47,4587
67,2638
8,33438
448,1273
18,319
207,50084
21,146
1,1
32,195
105,158815
144,149485
3,399
436,3919
338,336
800,26
99,9779
323,7630
159,318
370,2638
15,1558
7,25446
83,149485
22,792
21,25446
85,254
43,1368
342,342
30,2016
160,252
5,42927
255,4472
3371,13481
416,2926
26,15578
13,403
97,4868
162,1035
376,82
35,2164
616,5874
38,10872
18,22982
162,1101
31,3045
5,1873
328,1396
179,6759
3371,166
3,461
10,938
73,73
175,3936
2298,5470
10,847
3,36
156,180431
5,594
8,2164
22,26
388,1900
2625,117
3,2158
18,391
632,489
15,228
390,1182
125,117
22,50
41,521
8,73
12,26
1444,2663
3,94
161,5765
11,16
31,756
347,10968
3,169
142,32833
188,1523
230,16
402,402
434,1558
88,88
3,2384
45,71
515,4777
861,861
567,101344
114,26
830,796
43,20178
2073,2073
21,21
343,15870
46,1926
1394,454
3983,3983
237,19625
159,159
13,1386
7548,585
4,4
8,8
76,76
126,446
442,567
65,3874
174,5022
106,96
3,4776
182,49113
2054,5832
11,11
3,801
34,34
100,24769
66,118
861,861
15,37011
100,381
1,1
20,5219
14,618
1648,8990
495,495
14,5791
25,4950
43,1252
33,2144
757,4760
606,2871
17,328
10,94453
21,858
329,329
446,446
615,46415
8,2058
2518,117
481,63128
395,7421
49,3148
44,5361
22,21401
2171,2171
19,16
566,111343
1212,1019
40,84545
181,27317
122,66873
18,1419
305,846
135,135
1519,24137
63,506
1,1
65,26
208,4316
23,2237
13,927
1257,8728
293,33397
70,4731
3,27911
27,24137
4260,4907
6,49113
1394,49134
6624,3541
5,22471
7,161
18,450
790,790
1065,3962
147,55066
11,5453
24,16
17,43589
8,7391
483,5992
51,33
25,680
175,214
81,5453
1568,3164
472,15927
158,28
59,214
33,13091
18,412
20,1302
37,1299
5,19472
13,15870
2291,11741
53,5992
343,343
55,468
26,1318
51,16772
378,10716
106,121
300,1722
1568,1568
40,22489
195,133
35,5817
5467,2327
540,543
3,59038
10,15870
85,19625
8,139
11,7391
8,8
3,94453
15,340
4652,5817
11,9285
23,30756
153,2620
449,14442
181,181
15,2021
47,37011
117,15513
34,2384
449,3080
23,119294
40,3874
794,12927
655,13740
953,3080
543,15870
535,14442
53,27763
839,13969
6946,624
59,6237
735,153
7101,13633
640,132928
814,3874
8,3080
68,256
529,70057
2138,2138
795,2311
9,26
18,805
51,42448
3,972
772,2261
21,430
189,69468
327,3874
119,2384
34,336
431,431
34,3874
325,15870
3659,16797
8,953
29,2012
34,1252
21,38576
905,3664
180,8098
1782,8527
22,12207
2695,2586
321,3874
38,3080
3545,1026
1656,48031
7391,10470
66,15870
431,19327
4788,289
226,29418
3545,821
40,454
545,545
59,1112
15,1755
3,1239
58,2672
32,435
4,2645
1,21915
31,789
154,23823
99,63128
812,5013
80,494
37,341
8,556
8,7391
1245,7391
389,12743
10,3820
3,12743
111,829
301,6180
54,3820
27,46032
1,1
35,35
293,76
111,111
841,2063
687,687
1230,1230
2049,482
111,139
257,502
30,167
3,3296
6451,6451
992,992
9,1658
63,63
11,11
10,10
25,4662
96,96
16,12391
418,61
35,2094
163,180
1,1
144,14823
8,8
704,948
3,117
70,70
79,636
617,1225
6,10382
315,556
1432,9654
3,3
116,171
30,26
975,521
4611,4611
6,6
220,576
900,104
5650,63
84,84
876,876
135,335
69,891
130,1769
3,3296
76,9217
41,851
446,365
1696,891
15,261
440,99156
507,25556
13,494
1,1728
57,445
2016,2016
57,395
2749,14577
166,166
18,44133
5,211
438,370
112,71
325,1183
698,10015
23,267
1541,1541
19,227
28,513
18,1631
142,1901
3606,17143
70,70
161,117
18,2729
8,968
8,6667
619,638
56,63574
3,453
37,7601
23,63574
82,968
17,6636
257,2236
89,736
14,2236
28,619
8,545
32,1081
29,14577
574,545
5464,591
120,6095
1764,3169
3,101344
937,2236
166,1484
193,47
67,2372
67,2236
3,897
10,1657
34,2372
990,92
103,7557
71,968
27,2372
18,4171
6,5471
32,292
107,15116
35,68
131,169
1578,5317
143,4081
26,2418
1,1228
94,92
155,668
194,14863
18,2658
1131,4301
71,5509
527,10548
12,1484
3,1023
70,448
164,2334
113,113
21,64722
414,5317
1133,33250
694,17143
92,2255
885,132326
337,78354
3,1106
21,21
95,244
36,132326
6,1054
49,5252
56,9285
8,1325
1202,569
165,1058
171,17282
8,934
30,10774
27,771
76,897
26,511
870,1684
151,51
65,1243
25,33630
88,522
140,2391
9,72
103,1077
19,19
13,1918
13,2255
8,897
717,5945
38,8414
164,12235
7,3486
69,85
29,897
1695,1183
29,2550
15,1336
161,44133
106,169
515,34586
221,1243
27,624
932,2328
3,788
5,1054
36,10015
27,574
30,43
3,21
5707,4430
69,6180
262,262
52,405
6,261
31,261
15,591
32,3756
291,17282
468,407
310,1429
319,195719
13,13
9,84
17,283
82,29
120,81
878,82173
339,43860
21,41
234,2236
45,2428
15,52266
540,8130
61,632
3,5116
309,309
956,130
5,4493
24,345
3912,153
502,2006
24,43860
8,111
15,96
15,1195
11,1292
937,43860
82,1285
5,1023
15,1212
64,4945
13,360
3940,483
8,1067
616,515
91,91
67,67
51,51
116,116
71,83
33,897
57,77
898,4473
23,15765
1025,1025
6,6
3,26584
19,19
2066,301
6,6
31,1337
2996,2996
725,725
61,234
193,2721
31,434
71,6156
340,2841
24,81
8,349
5,546
88,7193
93,93
18,4420
30,352
2381,2381
927,9396
1,164
20,26
18,309
335,41
353,5765
5,1181
411,4473
21,669
1381,1381
6,41
342,27385
3,954
175,154
73,4473
36,2191
42,534
19,31982
33,1674
9,640
3,2016
1057,2177
101,251
187,1757
3,2602
28,762
187,1853
45,1543
101,2525
192,884
108,81
880,39556
193,272
3,1181
52,1113
713,713
18,18
10,419
88,4668
10,369
20,1898
10,349
1478,2191
41,4161
117,3197
149,149
19,5765
23,2016
38,27911
37,37
94,1670
238,3398
3,1000
361,3398
7,203
1021,993
108,26469
9053,1543
15,158
13,3480
923,292
54,81
3068,213
1,118
1302,1898
3,328
120,20252
741,3034
203,86
10,345
22,105
96,79
34,87
13,81
202,6227
302,365
2287,105
593,357
103,6511
69,66
158,964
1408,1221
19,69
6,3480
92,86
18,36
2583,2583
118,492
18,42
700,86
282,24645
1007,675
12,244
34,116
188,1302
8,301
189,86
31,675
91,3306
21,4074
270,4074
110,954
170,365
302,365
8,756
31,34925
13,140
10,61
314,989
17,78
48,1205
171,26990
420,420
24,595
5200,3594
3,143
1,1
55,55
23,23
175,25891
179,1009
60,1711
34,303
8,5200
3,2233
67,165
15,844
25,36
3939,46899
173,4855
50,107195
109,1203
23,23
849,8316
13,5244
154,34338
431,1196
63,63
469,5481
8,599
8,26
1395,770
10,1424
55,1639
31,9235
235,1030
64,17038
64,73
655,7877
1024,1024
14,2153
38,176160
31,1549
48,5474
193,189
517,1140
238,1816
1128,4001
517,376
90,90
2280,5262
59,10370
75,8603
315,3509
52,52
60,1140
38,1205
59,1288
114,1424
12,12
452,3318
23,15679
476,476
395,395
74,74
27,15870
36,8703
52,11687
81,13922
57,19327
633,40262
146,1924
13,4078
49,14575
437,431
2186,5197
12,18293
10,993
8,8012
6241,31967
24,263
420,142
15,1807
6,33299
10,877
691,691
33,877
64,142741
62,14575
8,2754
143,7440
6,25972
50,877
209,845
50,877
653,17038
1,504
140,176160
3,521
14,10839
780,17038
62,2581
169,7440
110,2965
70,2153
20,4516
39,1116
24,494
62,378
370,113630
89,5200
43,877
25,91551
367,369
9,40260
103,2773
812,17038
53,19770
2404,2703
8952,861
238,993
5,73
558,17038
964,17038
321,185
24,877
18,877
493,993
603,5243
19,19
1315,1315
16,1140
2,101
65,40260
18,1881
3,5916
33,221
95,1881
157,10207
441,161
95,17558
23,40260
22,1486
199,246
13,332
505,24528
20,19770
23,7440
46,1140
369,14875
8,1486
27,10370
3,993
198,74014
204,3592
20,424
245,328
60,1139
1,877
842,30763
75,32
3,456
7,35943
18,458
62,79
6,30646
40,4563
37,446
387,19770
393,410
526,861
3,1582
865,62409
125,995
374,658
1285,1285
67,5410
1652,17593
19,7970
593,50082
2183,8603
12,723
3,1009
6,23
5,1582
2601,10207
318,56748
37,7440
26,2661
142,19770
13,54697
80,90526
490,48848
11,55
2238,4563
13,26
32,10869
20,19770
155,1582
87,87
104,19770
15,76
36,1582
51,33299
103,640
125,4563
691,19770
820,96
56,7052
313,56046
2073,38309
357,4245
628,4047
354,11687
204,11687
108,770
25,402
41,2408
1155,11687
107,11687
408,785
27,573
653,34053
326,326
109,4945
964,8334
8,454
1395,770
1155,825
26,60914
48,364
537,573
894,34053
3,10207
413,28
1296,4281
8,36
73,6945
83,10762
59,45350
5,6945
5,116
118,118
1098,370
74,446
1027,22880
36,36
1804,21598
17,21598
171,5298
63,40813
55,14585
3,8094
58,149
76,7557
1937,11773
439,89
873,424
493,37983
34,41118
20,2065
3,494
85,28
11,1176
150,106
499,37983
21,3080
17,719
11,3153
13,2084
151,527
29,21598
577,328
14,14
55,26078
117,1319
80,83
22,3071
87,153
29,1951
3,1045
3,1319
8,105
162,161
122,107
107,1187
84,506
64,45722
48,40813
197,164
17,120380
421,2470
78,2198
76,76
89,9217
151,11300
365,1049
1764,485
738,1023
19,139
89,41
56,1679
4788,80
53,1319
189,657
112,112
82,5131
1098,12488
3,3004
421,63546
573,52
322,85
1040,925
26,192
21,12488
196,2223
150,11773
352,1465
10,283
8,3825
36,1211
307,3825
8,1
518,518
3413,17735
219,15309
7,56
2885,23541
4,20999
13,61627
48,48
461,1074
143,3658
343,183123
108,108
61,6171
46,46
1058,26
38,5462
320,489
2188,2188
106,106
38,45357
26,1215
1331,1836
16,4229
1,379
8,32547
378,951
5418,172
35,29822
13,455
47,52840
47,355
3,1526
1576,34134
192,46170
52,53
187,158815
2153,14049
8,43
103,5798
487,8917
9,1
322,16459
36,183123
84,31733
464,729
63,418
12,17920
4,1036
1454,1332
11,1
3451,3255
335,1339
8227,4177
9113,10607
45,42942
5,24671
70,489
7594,74267
109,757
4812,38371
6922,37406
117,86533
53,356
99,28871
26,28871
2115,15309
695,23541
27,689
1,1
43,956
1031,41
15,24671
565,16459
347,10607
41,8682
86,10607
8,5863
276,196652
69,66276
270,13388
306,16103
6135,23689
26,16863
390,24671
3662,5418
117,13388
60,196652
281,20028
118,66276
3,37406
1491,1605
13,1
344,14868
18,62320
61,2044
32,17920
679,5083
25,10607
5418,22935
29,531
538,65238
37,1584
3233,4565
50,5374
12,280
188,5374
21,32952
3,2828
260,65238
212,17488
13,17488
1017,3281
15,17920
182,32952
3413,52840
71,890
506,92224
1369,1369
509,1160
799,799
39,1724
137,196
288,2905
3216,6152
6,83
52,52
960,8256
68,8444
1024,1024
301,21798
128,128
116,116
69,162101
17,2262
10,134
85,96
21,1366
24,9052
422,422
411,722
16,168775
914,3989
432,191
5,407
351,8123
65,716
258,374
75,6152
22,692
178,105
1139,6157
411,34
11,677
10,168775
48,48
1931,127
90,136
3478,1066
62,3989
1836,151
89,2345
50,307
3,2369
3,104
177,1267
8,1100
3,3746
85,85
103,24106
116,162101
327,773
543,198
300,456
492,492
329,2853
8,19369
33,602
2362,2369
8,12557
10,4269
3,551
259,18693
55,1100
18,18693
412,18693
55,3356
1343,803
583,69
1485,55
105,5420
46,367
46,6152
10,221
115,806
39,3734
162,129
29,5851
875,9385
1706,559
45,482
259,18693
797,11392
46,359
8,80
103,1318
58,94324
22,803
4652,10139
1011,5688
174,1818
430,1219
43,396
27,1757
8,455
1,1
75,75
15,15
12,41438
18,184
5,402
54,3296
8,4662
1829,289
104,4702
3,17285
68,3296
43,16655
42,4662
12,394
361,15081
420,12161
128,2949
530,9301
3,16655
347,16655
1,15081
10,16655
1,1156
32,64
439,4731
357,67
53,15081
164,1658
49,1058
40,1058
6655,17285
3,588
90,1412
44,93112
3,106
23,74475
20,340
155,33630
8,4662
57,845
459,364
85,4662
69,2429
52,8185
175,106
104,33630
332,332
31,53727
138,22952
1625,1625
1744,167435
4814,91
57,1875
164,8981
3,26912
3,169
164,858
8,4750
30,40
653,1951
4,519
31,59410
14,706
108,332
4,370
594,14585
1013,1674
299,2177
33,17465
3,1319
31,1816
1597,166
222,194660
1439,82926
91,17292
42,42
64,11533
65,5383
61,32606
13,34584
63,2282
464,464
18,539
8,32606
35,32606
20,14015
8,804
51,15081
475,9577
18,381
6339,25130
17,16655
150,495
37,25472
22,60750
183,340
257,5033
101,450
22,36173
106,293
8,261
4332,1081
1,36173
36,530
122,122
5161,3107
28,1058
1055,33630
13,33630
8,11065
3,438
357,33630
40,74676
84,25766
104,1219
346,398
3,340
1173,114
3,1058
16,1189
89,16
447,1921
1,14456
143,156
27,20827
46,74676
161,22982
699,10302
73,2638
1,33630
650,2143
134,41
1192,1192
5104,5104
505,4422
81,81
66,49113
33,33
59,1260
170,795
812,812
3,9146
105,16200
87,87
1992,1992
25,26
639,26469
133,21439
124,4577
120,1944
66,1879
40,5481
9,20999
3,20999
109,838
58,58
103,11941
8,3593
90,2525
43,25960
52,10592
28,8227
102,9459
12,21957
104,104
133,21439
28,99690
28,6070
18,92224
152,428
13,38371
1,20999
152,1
5,43034
24,13818
39,62320
3,72
3,20999
6,6070
1,20999
23,1032
193,1578
1504,13155
132,11966
2,108153
2818,4177
65,17096
2356,188045
6,20279
37,15147
22,49581
646,1
120,1240
986,66276
45,496
1,17015
10,2864
2782,107485
10,40542
154,10456
17,60
14,4846
55,52656
8,8
3,4616
2066,30979
5,5
801,1673
16,288
84,2295
150,2949
1,179
32,559
24,1459
458,56
45,3527
2242,2242
74,15752
267,3820
71,2949
108,401
94,576
75,2329
589,113368
355,2949
81,2639
13,401
28,28251
182,525
1004,5164
720,2329
1411,2329
150,2978
364,104
1879,89
11,1969
419,104
19,2639
633,2294
1931,552
313,681
199,89
3,130
1018,908
336,9169
300,428
56,7987
169,8309
156,428
134,2672
26,26
367,1357
300,352
641,14013
101,31548
1245,26469
2987,2987
2033,2033
3,3085
19,376
616,6856
3,183123
161,1343
35,24310
3,111
5114,656
48,24106
4013,209
89,3061
23,12716
34,306
15,56748
27,216
43,13213
27,1830
138,124
58,1401
685,8444
43,677
68,87916
3067,3067
2764,26
54,507
1130,11584
1531,1531
3,503
3,209
39,141
161,964
15,48
11,11
62,10783
3,1543
2634,2867
2608,320
168,168
51,201
327,327
1856,29476
1321,143
126,126
3,1613
65,500
18,287
1794,2010
48,84545
1427,269
32,501
122,61
1250,501
3469,501
1,311
26,3286
8,29476
16,9169
157,1058
122,110124
1601,67740
126,214
35,1014
117,167
192,4993
1601,3031
84,153
18,93
3933,73
1,1
120,29476
913,3576
14,335
549,4603
20,18333
439,486
157,24106
91,29476
1137,1228
1002,1801
136,20645
51,51
60,2108
2712,402
74,9146
451,25065
17,1058
32,1813
13,2108
94,15081
360,4568
30,35772
3,8630
20,36173
34,9146
216,41063
3,537
377,4568
436,10266
105,7622
4968,11065
121,1529
144,46
13,1333
15,96961
28,16022
445,445
45,11076
24,96
26,576
276,31343
8,47308
580,31343
983,45315
845,31343
364,1010
17,517
162,29476
54,13155
188,152747
34,156339
768,1121
185,1863
39,39
132,2727
8,69937
322,8628
319,2440
18,1432
136,136
369,369
137,628
2,1593
77,16225
304,189495
18,1804
8,20236
102,99
127,13155
16,686
3,4934
35,152747
9724,20236
152,2252
76,474
5003,38737
421,6859
83,58710
8,1035
19,2182
37,76911
205,628
244,25779
81,1917
21,1302
348,1947
164,15493
87,84205
15,4934
54,4930
2721,4934
23,4934
8,628
519,156339
366,90526
8,287
8,1432
3,152747
127,26357
416,7043
205,156339
27,156339
306,30164
423,423
447,1432
93,11089
128,20083
3481,3481
23,628
474,25518
137,2311
10,3869
656,25518
23,2944
185,940
5,1432
16,149
54,869
36,111
45,951
99,156339
23,156339
36,156339
25,916
172,156339
77,474
70,30320
244,4730
134,38737
13,2182
8,72138
114,74308
122,331
95,873
17,17963
613,2110
11,468
21,26536
9179,27574
282,195719
65,9044
13,326
3,74676
331,51445
52,15575
6,28871
179,324
2633,74308
642,1254
80,58968
3,2597
8,1108
1845,3376
574,112110
8,66
8,57721
8,90526
141,309
50,196681
131,4430
8,12029
1737,11221
8,2408
3,121454
53,3566
34,34
3010,3010
3,10592
785,35672
7,113640
1,71
21,1149
26,140717
7,12042
311,311
18,398
41,587
22,5109
54,1361
304,304
27,17963
70,783
114,92
52,61
744,744
128,339
821,821
1019,1019
4473,75022
86,86
197,197
1745,1745
68,644
6,2010
15,4420
85,4420
20,6481
75,7725
78,115225
8413,4134
1404,1404
726,726
22,10552
74,4420
83,137
45,3802
75,289
30,4563
953,28023
60,60
31,2661
70,156
381,2028
179,4257
22,359
381,381
1190,1190
2803,5219
587,587
53,1934
555,555
27,27
21,21
35,35
19,125
95,477
8,3310
26,543
806,1584
13,91
2127,18293
95,873
38,13020
697,11741
36,124499
162,10207
421,1588
9,9
40,4936
198,10279
33,125
79,79
17,1133
3,136
39,5851
61,10773
17,17
35,1588
412,10773
150,2002
2409,3176
602,162101
42,292
8,914
3,359
3,359
144,482
43,129
11,2262
11,4936
1,1
18,18
805,1052
501,67220
917,5300
20,251
130,22251
57,124
8,414
7218,2013
10,10
278,3154
221,2013
437,946
101,5612
162,15070
448,8563
101,9301
134,27763
47,47
36,36
9,393
15,1710
81,81
42,3045
738,140
29,1065
395,395
27,704
3,13316
142,5278
28,31
21,21
27,340
367,4436
68,21
42,15244
13,947
44,50
6,6
114,114
401,10370
68,13420
31,30667
1731,24407
69,428
3,15244
15,1978
3,50240
3,15244
10,331
95,15244
13,1165
3,15244
35,3862
172,42253
17,50240
8,3061
68,38345
13,2487
18,824
106,42253
17,771
352,352
48,6781
3,7153
8,3373
10,250
1567,1309
24,1141
529,71
643,1434
734,33767
28,661
3,14766
73,880
6,10762
10,108153
6,412
326,2158
118,541
6,1140
55,23944
3440,15981
129,23944
4025,4025
95,44809
692,692
47,36
595,595
59,444
63,63
35,26
2606,38299
13,24643
40,11862
13,38299
23,32163
1931,1931
106,105
110,3441
100,24137
25,126
21,41
53,2408
1069,3324
2691,74676
214,5244
2298,3254
2458,92224
1259,16586
128,2140
358,1043
9,4857
193,15437
81,81
4,33300
24,54493
327,2754
15,33300
101,113640
8,5893
176,320
8,66690
13,504
2335,1103
897,1318
13,21439
406,161620
3,463
45,1813
123,7279
39,24909
7,50240
171,74678
62,1830
30,13420
18,14102
16,980
850,12412
26,30667
23,10139
120,30667
30,1305
25,10762
13,30667
850,12412
10,26
593,593
18,10872
2877,2877
559,284
6,2987
1232,5094
1232,37211
727,735
251,8321
1232,5690
1495,1556
727,30091
1232,1003
128,46
8,8463
785,1291
133,2165
67,933
13,15081
8529,41570
1306,91
50,998
1498,15081
451,1675
53,53
371,371
13,9386
120,6400
180,180
8,11738
3,86768
42,86768
26,86768
46,1108
13,1978
20,853
25,309
49,11547
21,93112
199,618
33,452
90,46
439,658
12,890
1025,228
43,196
35,35
61,545
8097,62520
24,2170
3,116
3,3296
8,1148
788,5888
70,17711
70,17711
464,464
14,31133
108,108
41,1100
27,7575
837,1486
399,576
367,462
33,8917
2566,611
149,3045
83,83
586,1367
139,45587
71,41965
3,2943
16,16
858,15765
6,6
3,131
35,16
1355,5858
121,71
2802,41539
40,21290
5,461
2568,4372
858,10778
21,1468
8,1926
23,196
8,5916
8,8
483,925
471,7168
54,54
102,1100
1597,1597
98,98
1802,4660
2344,6372
1135,20422
1135,5341
186,186
4375,4375
36,11198
16,1731
9990,38301
1201,1194
2653,3075
3,36
1,1
145,33152
258,26441
1374,44687
3,55700
1091,7888
109,2375
15,11076
886,2282
2454,2454
8,876
44,847
1539,539
536,22929
180,180
237,1326
20,20
48,12391
332,85705
1186,185
1020,9583
740,740
3,3057
17,19770
75,116440
5,1835
18,18
803,803
17,88
934,57762
642,1543
1650,3238
3,16
3,477
38,193940
760,2418
3,9169
10,3317
358,2418
73,3042
28,4779
5934,6146
30,14
30,578
2016,9669
15,981
6,737
1767,106
42,30667
969,969
3,3527
20,3174
567,72138
175,4436
25,16
133,2165
47,27002
2362,18241
4007,1575
303,10869
7,460
28,20999
187,1924
151,4041
99,19399
58,58
8,4464
27,310
657,15437
3,33300
1120,1120
10,7705
32,7705
3094,4062
48,6314
129,5300
